Designation,Employee Count
Jr. S.M.O (O/L),693
Jr. S.M.O (P/M),531
Jr. Q.I,472
A.S.M.O,371
S.M.O O/L,370
Jr. S.M.O (F/L),306
S.M.O P/M,276
Finishing Asst.,238
S.M.O F/L,183
Loader,150
Iron Man,137
S.S.M.O (F/L),123
S.S.M.O (O/L),112
Jr. Iron Man,105
Q.I,100
Jr. Receive Man,92
Jr. S.M.O (F/D),83
Jr. S.M.O (B/T),76
Cutting Asst.,76
Asst. Lay Man,74
Sewing Supervisor,71
Packer,65
Cleaner,58
Jr. Folder,57
Asst. Heat Seal Man,56
Input Man,56
Sample Man.,50
Folder,45
Store Asst,43
Jr Heat Seal Man,41
Sr. Cutter Man,41
Jr Bundle Man,38
Machine Technician,36
Jr. Issue Man,36
Sr. Officer,32
Jr. Numbering Man,32
Jr. Packer,31
Jr. Security Guard,31
Officer,30
Jr Tag Man,30
S.S.M.O (P/M),29
Executive,24
Quality Incharge,24
Line Ironman,22
Jr. Scissor Man,22
Cutter Man,22
Cutting Supervisor,22
Jr. Officer,21
Auditor,18
Asst. Issue Man,18
Asst. Relax Man,17
S.M.O (F/D),17
Sewing Technician,16
Asst. Manager,16
Jr Poly man,15
Deputy Manager,14
Sr. Executive,14
Quality Supervisor,14
Sewing Incharge,14
Jr Scissor Man,13
Jr. S.M.O (Z/Z),13
Sr.Sewing Supervisor,13
Manager,12
Jr.Piping M.O,12
Jr Spot Man,12
Sr.Sample Man,11
S.S.M.O (F/D),11
Jr Lay Man,11
S.M.O B/T,10
Sr. Merchandiser,10
Jr.Lady Guard,10
Jr.E.C.O,10
Merchandiser,9
Electric Technician,9
Jr. Metal Detector Operator,9
Sweeper,9
Asst. Mechanic,9
Folding Supervisor,8
Jr. Spotman,8
Asst. Officer,8
Jr. Bundle Man,8
Issue Man,8
Jr.T.S.M.O,8
Jr.Poly Man,8
Sr. Manager,7
Asst. Merchandiser,7
Jr Cutter Man,7
Jr Writer Man,6
Cook,6
G.P.Q,6
Asst. Print Delivery Man,6
Jr.Tag Man,6
Jr.Print Delivery Man,6
Jr.Needle Man,6
Peon,5
Mechanic Incharge,5
Cutting Incharge,5
A.G.M,5
Messenger,5
Piping M. O,5
Finishing Incharge,5
Store Keeper,5
Sr.G.P.Q,5
Jr Sticker Man,4
S.M.O Z/Z,4
Jr. Piping M.O,4
Welfare Officer,4
Input Supervisor (Cutting),4
Asst. Bundle Man,4
Production Reporter,4
Cutting Technician,4
Assort Man,4
Deputy General Manager,4
Asst. Incharge,4
Packing Supervisor,4
Tag Man,3
Receive Incharge,3
Security Guard,3
Fire Man,3
Receive Man,3
Asst. Supervisor,3
Poly Man,3
Asst.Reporter,3
Receive Supervisor,3
Production Manager,3
Iron .Supervisor,3
Store Supervisor,3
Security Supervisor,3
Jr. Input Man,3
Asst.Executive,2
Jr.Computer Operator,2
MTO,2
Medical Officer,2
Sr. Q.I,2
Electric Incharge,2
Poly Woman,2
Trainee Merchandiser,2
Spotman,2
General Electrician,2
Sr. Production Manager,2
Sr.Quality Supervisor,2
Asst. Electrician,2
Jr.Plamber,2
Heat Seal Man,2
General Manager,2
Print Delivery Man,2
E.C.O,2
Medical Assistant,1
Fire Safety Officer,1
Asst. Scissor Man,1
Bundle Man,1
Heat Seal Supervisor,1
Jr.Relax Man,1
Nurse,1
Telephone Operator,1
Medical Asst.,1
Civil Engineer,1
Child Care,1
Electric Supervisor,1
Technician (AC),1
Welder.,1
Boilar Supervisor,1
Boiler Operator,1
Generator Supervisor,1
Asst. Boilar Operator,1
Asst. Cutter,1
Sample Supervisor,1
Asst.Technical Incharge,1
Jr. Merchandiser,1
Jr.Executive,1
Button Supervisor,1
Size Set Incharge,1
Technical Incharge,1
Head Of Maintenance,1
Asst.Mechanic Incharge,1
Fabric Incharge,1
Lift Operator,1
Sr. Spotman,1
Sr.Iron Supervisor,1
Sr.Finishing Supervisor,1
T.S.M.O,1
Asst. Printer,1
Sr.Receive Man,1
Asst. Production Manager,1
Sr. Sample Man,1
Fashion Designer,1
A.E.C.O,1
S.S.M.O (B/T),1
Sr.Receive  Supervisor,1
Loader Supervisor,1
Asst.Manager,1
Asst. Quality  Incharge,1
Product Safety Officer,1
Canteen Boy,1
Driver,1
Cleaner Supervisor,1
Driver.,1
